GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,OauthAuthorityExtractor,215,0,16,0,54,0,21,0,13,0
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,RbacLdapAuthoritiesExtractor,173,0,2,0,32,0,12,0,11,0
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,GithubAuthorityExtractor.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,GithubAuthorityExtractor.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,CognitoAuthorityExtractor,139,0,6,0,34,0,16,0,13,0
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,GithubAuthorityExtractor,437,0,12,0,109,0,39,0,33,0
kafka-ui-api,com.provectus.kafka.ui.service.rbac.extractor,GoogleAuthorityExtractor,134,0,6,0,32,0,15,0,12,0
kafka-ui-api,com.provectus.kafka.ui.util,ApplicationMetrics,17,112,1,1,5,29,3,8,2,8
kafka-ui-api,com.provectus.kafka.ui.util,DynamicConfigOperations,108,242,7,13,25,57,11,16,4,13
kafka-ui-api,com.provectus.kafka.ui.util,DynamicConfigOperations.PropertiesStructure.Auth,125,0,22,0,4,0,21,0,10,0
kafka-ui-api,com.provectus.kafka.ui.util,KafkaServicesValidation,237,0,4,0,69,0,15,0,13,0
kafka-ui-api,com.provectus.kafka.ui.util,ReactiveFailover.PublisherHolder,4,45,0,4,2,12,0,6,0,4
kafka-ui-api,com.provectus.kafka.ui.util,DynamicConfigOperations.PropertiesStructure.PropertiesStructureBuilder,25,20,0,0,0,1,4,3,4,3
kafka-ui-api,com.provectus.kafka.ui.util,SslPropertiesUtil,18,3,5,1,3,2,3,1,0,1
kafka-ui-api,com.provectus.kafka.ui.util,EmptyRedirectStrategy,79,0,6,0,23,0,9,0,6,0
kafka-ui-api,com.provectus.kafka.ui.util,GithubReleaseInfo,10,55,0,0,0,18,3,7,3,7
kafka-ui-api,com.provectus.kafka.ui.util,DynamicConfigOperations.PropertiesStructure,196,42,38,0,5,11,32,3,13,3
kafka-ui-api,com.provectus.kafka.ui.util,ReactiveFailover,7,289,3,25,2,55,3,31,0,20
kafka-ui-api,com.provectus.kafka.ui.util,ResourceUtil,12,0,0,0,2,0,1,0,1,0
kafka-ui-api,com.provectus.kafka.ui.util,DynamicConfigOperations.new Representer() {...},0,18,0,2,0,4,0,3,0,2
kafka-ui-api,com.provectus.kafka.ui.util,ApplicationRestarter,50,16,2,0,17,5,4,3,3,3
kafka-ui-api,com.provectus.kafka.ui.util,KafkaVersion,11,17,1,1,3,3,1,1,0,1
kafka-ui-api,com.provectus.kafka.ui.util,WebClientConfigurator,92,147,15,13,24,35,12,15,1,12
kafka-ui-api,com.provectus.kafka.ui.util,DynamicConfigOperations.PropertiesStructure.Auth.AuthBuilder,27,0,0,0,1,0,5,0,5,0
kafka-ui-api,com.provectus.kafka.ui.util,GithubReleaseInfo.GithubReleaseDto,0,19,0,0,0,2,0,2,0,2
kafka-ui-api,com.provectus.kafka.ui,KafkaUiApplication,24,3,0,0,6,1,2,1,2,1
kafka-ui-api,com.provectus.kafka.ui.service.ksql,KsqlGrammar,12,56,2,2,3,11,2,4,0,4
kafka-ui-api,com.provectus.kafka.ui.service.ksql,KsqlGrammar.KsqlStatements,56,9,12,0,0,2,9,2,3,2
kafka-ui-api,com.provectus.kafka.ui.service.ksql,KsqlServiceV2,82,172,4,2,15,37,7,10,4,10
